Iteration	Posterior	Likelihood	Prior	rate_log_sd	rate_loss	tree_length
0	-3973.227	-4393.603	420.3758	1.513227	6.492599	2.017308
6	-3979.098	-4399.3	420.2021	1.499789	5.400538	2.312087
12	-3977.769	-4397.405	419.6367	1.477749	5.534438	2.658132
18	-3990.469	-4410.247	419.7782	1.489742	5.760274	2.527547
24	-3981.869	-4401.677	419.8079	1.544816	6.398277	2.378549
30	-3981.845	-4401.648	419.8033	1.473336	6.398277	2.426588
36	-3969.408	-4388.591	419.1829	1.418767	7.538885	2.694715
42	-3964.056	-4384.194	420.1379	1.586471	7.757491	1.950084
48	-3975.498	-4395.46	419.9625	1.571534	8.049358	2.039733
54	-3978.259	-4397.853	419.5939	1.431285	7.639729	2.418992
60	-3977.876	-4396.268	418.3917	1.470123	6.756031	3.238251
66	-3981.241	-4399.791	418.5502	1.388672	6.460683	3.2316
72	-3971.972	-4390.739	418.7672	1.288423	6.201774	3.197852
78	-3985.077	-4404.671	419.5943	1.436684	6.133081	2.618314
84	-3981.237	-4400.878	419.6406	1.549416	5.491733	2.618314
90	-3976.758	-4396.372	419.6143	1.495114	6.651433	2.495742
96	-3982.774	-4402.245	419.4712	1.520902	7.405585	2.469243
102	-3990.427	-4409.248	418.8212	1.385758	7.464395	2.943721
108	-3977.077	-4395.379	418.3018	1.360649	7.254208	3.293544
114	-3994.512	-4413.845	419.3326	1.325074	6.868068	2.745693
120	-3990.856	-4410.115	419.2587	1.438877	7.515943	2.638535
126	-4005.238	-4425.178	419.9402	1.624041	6.782852	2.188129
132	-4001.743	-4421.763	420.0203	1.487715	6.804404	2.221447
138	-4007.947	-4427.05	419.1033	1.39552	6.725627	2.861226
144	-4009.883	-4429.373	419.49	1.515743	6.56598	2.572183
150	-4016.156	-4436	419.8436	1.581699	7.343717	2.201537
156	-4013.598	-4433.363	419.7648	1.610743	7.590715	2.201537
162	-4008.843	-4428.984	420.1415	1.625847	7.183636	1.998668
168	-4006.766	-4426.285	419.5191	1.512863	6.211897	2.606255
174	-3996.852	-4417.058	420.2064	1.643836	6.739887	2.006537
180	-3993.531	-4413.037	419.5068	1.643836	6.65597	2.469359
186	-3984.531	-4404.936	420.4048	1.682377	6.65597	1.859155
192	-3998.703	-4418.134	419.4309	1.672588	5.691007	2.640291
198	-3995.758	-4416.016	420.2575	1.501048	6.278454	2.13556
204	-3987.743	-4407.806	420.0625	1.51671	6.535867	2.213798
210	-3982.539	-4402.007	419.4675	1.529625	5.797735	2.689293
216	-3992.689	-4412.989	420.2999	1.483884	6.756688	2.048168
222	-4001.595	-4420.665	419.0694	1.620936	7.88295	2.59852
228	-3998.539	-4417.951	419.4128	1.421125	6.766205	2.651075
234	-4000.147	-4419.88	419.7327	1.537051	7.164571	2.325046
240	-4004.992	-4424.904	419.9117	1.742007	6.985918	2.101274
246	-4004.899	-4425.106	420.2061	1.712456	6.969552	1.92744
252	-4013.164	-4432.313	419.1491	1.432267	6.925989	2.784658
258	-4004.39	-4424.25	419.8607	1.463845	7.287089	2.273865
264	-4003.426	-4423.104	419.6787	1.698931	6.893017	2.292912
270	-4005.861	-4425.527	419.6662	1.44358	7.752054	2.351524
276	-4014.178	-4433.821	419.6428	1.609851	6.348617	2.448853
282	-3990.395	-4410.181	419.7853	1.504106	6.807189	2.360918
288	-4004.4	-4423.984	419.5842	1.534801	6.092552	2.569753
294	-4004.8	-4424.894	420.0941	1.704159	5.842494	2.177667
300	-4002.847	-4422.684	419.8368	1.632295	6.389071	2.305941
306	-3992.02	-4411.658	419.6373	1.509665	6.788947	2.453311
312	-3995.984	-4415.351	419.3668	1.386011	7.324321	2.628341
